Summary,Test Type,Epic,Feature,Story,Test Sets,JIRA Keys,Step Action,Step Data,Step Expected
"Validate analytics events capture - Oasiz with Classic menu","Automatic","Cinesa Platform","Analytics - Tracking","COMS-13733 / COMS-13727 - GA4 DataLayer validation - Oasiz - Classic","Analytics - Tracking","COMS-13733, COMS-13727","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Initializing dataLayer capture;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Oasiz cinema;Getting list of film names from cinema detail page;Selecting film with name ""Reversion"";Selecting showtime ""21:35P. M.Sala 2"";Waiting for seats to be ready;Waiting for seats to be ready;Waiting for seat picker container",";;;;;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Step completes successfully;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Selection completes successfully;Page loads successfully;Page loads successfully;Page loads successfully"
"Cookies Policy page redirection test","Automatic","Cinesa Platform","Footer - Site Navigation","Cookies Policy navigation and URL validation","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on a[href=""/documentos-legales/cookies""]",";;;","Step completes successfully;Element should be visible;Click action completes;Click action completes"
"Who Are We page display and layout","Automatic","Cinesa Platform","Footer - Site Navigation","Who Are We page display and layout","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on a[href=""/quienes-somos/""]",";;;","Step completes successfully;Element should be visible;Click action completes;Click action completes"
"Select sofa leaving 1 space - Oasiz","Automatic","Cinesa Platform","Seat Picker - Seat Selection","D-BOX sofa seat selection and validation","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);TC: https://se-ocg.atlassian.net/browse/COMS-4853;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Oasiz cinema;Getting list of film names from cinema detail page;Selecting film with name ""Predator: Badlands"";Accepting the D-BOX warning modal if present;Waiting for seats to be ready;Waiting for seat picker container;Selecting seat [Row 2, Seat 11]",";;;;;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Step completes successfully;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Step completes successfully;Page loads successfully;Page loads successfully;Selection completes successfully"
"Cinesa Business page redirection test","Automatic","Cinesa Platform","Footer - Site Navigation","Cinesa Business navigation and URL validation","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on a[href=""http://www.cinesabusiness.es/""];Validating Cinesa Business page URL",";;;;","Step completes successfully;Element should be visible;Click action completes;Click action completes;Navigation completes successfully"
"Select more than max seat capacity - Grancasa","Automatic","Cinesa Platform","Seat Picker - Seat Selection","Seat selection validation rules","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);TC: https://se-ocg.atlassian.net/browse/COMS-5088;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Grancasa cinema;Getting list of film names from cinema detail page;Selecting film with name ""Los Tigres"";Selecting showtime ""18:50P. M.Sala 1"";Waiting for seats to be ready;Waiting for seats to be ready;Waiting for seat picker container;Selecting seat [Row 0, Seat 0];Selecting seat [Row 0, Seat 0];Selecting seat [Row 0, Seat 0]",";;;;;;;;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Step completes successfully;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Selection completes successfully;Page loads successfully;Page loads successfully;Page loads successfully;Selection completes successfully;Selection completes successfully;Selection completes successfully"
"Full purchase with standard promotional code - Grancasa","Automatic","Cinesa Platform","Seat Picker - Seat Selection","Promotional code application in booking flow","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Grancasa cinema;Getting list of film names from cinema detail page;Selecting film with name ""Bugonia"";Selecting showtime ""19:15P. M.Sala 2"";Waiting for seats to be ready;Waiting for seats to be ready;Waiting for seat picker container",";;;;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Selection completes successfully;Page loads successfully;Page loads successfully;Page loads successfully"
"Cinesa Movies page redirection test","Automatic","Cinesa Platform","Movies - Content Catalog","Movies page URL redirection validation","Movies - Content Catalog","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click on nav.header-nav a[href=""/peliculas/""];Wait for #onetrust-banner-sdk to be visible",";;;","Step completes successfully;Element should be visible;Click action completes;Element should be visible"
"should display all navbar elements","Automatic","Cinesa Platform","Navbar - Main Navigation","Verificar elementos visibles del navbar","Navbar - Main Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Verify 'Cines' link is visible;Verify 'Películas' link is visible;Verify 'Promociones' link is visible;Verify 'Experiencias' link is visible;Verify 'Programas' link is visible;Verify optional Bonos link",";;;;;;;","Step completes successfully;Element should be visible;Element should be visible;Element should be visible;Element should be visible;Element should be visible;Element should be visible;optional Bonos link is correct"
"Cookies Policy page display and layout","Automatic","Cinesa Platform","Footer - Site Navigation","Cookies Policy page display and layout","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click on a[href=""/documentos-legales/cookies""];Taking screenshot",";;;","Step completes successfully;Element should be visible;Click action completes;Step completes successfully"
"Code of Conduct page display and layout","Automatic","Cinesa Platform","Footer - Site Navigation","Code of Conduct page display and layout","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on a[href=""/quienes-somos/codigo-de-conducta-y-etica-empresariales""]",";;;","Step completes successfully;Element should be visible;Click action completes;Click action completes"
"Purchase Conditions page display and layout","Automatic","Cinesa Platform","Footer - Site Navigation","Purchase Conditions page display and layout","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on a[href=""/documentos-legales/condiciones-compra/""]",";;;","Step completes successfully;Element should be visible;Click action completes;Click action completes"
"validate new tab and link","Automatic","Cinesa Platform","Footer - Site Navigation","OCG-3287 - Eventos new tab and link validation","Footer - Site Navigation","OCG-3287","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on a[href=""/eventos/""]",";;;","Step completes successfully;Element should be visible;Click action completes;Click action completes"
"Modern Slavery Declaration display and layout","Automatic","Cinesa Platform","Footer - Site Navigation","Modern Slavery Declaration PDF display and layout","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on a[href*=""modernslavery""];Validating Modern Slavery PDF download",";;;;","Step completes successfully;Element should be visible;Click action completes;Click action completes;Step completes successfully"
"Apple App Download redirection test","Automatic","Cinesa Platform","Footer - Site Navigation","Apple App Download navigation and URL validation","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click on a[href=""https://apps.apple.com/es/app/cinesa-app/id6444631578?l=ca""];Validating Apple App Download page URL",";;;","Step completes successfully;Element should be visible;Click action completes;Navigation completes successfully"
"Full purchase with multiple seats - Oasiz","Automatic","Cinesa Platform","Seat Picker - Seat Selection","Complete purchase from seat selection","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Oasiz cinema;Getting list of film names from cinema detail page;Selecting film with name ""A pesar de ti"";Selecting showtime ""21:40P. M.Sala 8"";Waiting for seats to be ready;Waiting for seats to be ready;Waiting for seat picker container;Selecting seat [Row 8, Seat 16];Selecting seat [Row 8, Seat 15];Selecting seat [Row 8, Seat 14];Selecting seat [Row 8, Seat 13];Confirming selected seats;Wait for ""Continue as Guest"" button;Click ""Continue as Guest"" button;Click on .v-number-input__button--plus;Click on .v-number-input__button--plus;Click on .v-number-input__button--plus;Click on .v-number-input__button--plus;Wait for .order-totals-button-container .v-button, .order-totals-button to be visible;Click on .order-totals-button-container .v-button, .order-totals-button;Handling the bar modal;Filling out the form;Accepting terms and conditions;Clicking the continue button;Confirming popup;Expanding payment accordion;Entering card data (card number & PIN);Clicking pay button",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Selection completes successfully;Page loads successfully;Page loads successfully;Page loads successfully;Selection completes successfully;Selection completes successfully;Selection completes successfully;Selection completes successfully;Selection completes successfully;Page loads successfully;Click action completes;Click action completes;Click action completes;Click action completes;Click action completes;Element should be visible;Click action completes;Step completes successfully;Step completes successfully;Step completes successfully;Click action completes;Step completes successfully;Step completes successfully;Step completes successfully;Click action completes"
"Transparency page display and layout","Automatic","Cinesa Platform","Footer - Site Navigation","Transparency page display and layout","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on a[href=""/quienes-somos/transparencia/""]",";;;","Step completes successfully;Element should be visible;Click action completes;Click action completes"
"Navigate through Random Movies from Now Showing","Automatic","Cinesa Platform","Movies - Content Catalog","Random movie navigation - Now Showing tab","Movies - Content Catalog","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on nav.header-nav a[href=""/peliculas/""];Wait for #onetrust-banner-sdk to be visible;Click on button.v-tab__button:has-text(""En cartelera"")",";;;;;","Step completes successfully;Element should be visible;Click action completes;Click action completes;Element should be visible;Click action completes"
"Privacy Policy page display and layout","Automatic","Cinesa Platform","Footer - Site Navigation","Privacy Policy page display and layout","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on a[href=""/documentos-legales/politica-privacidad/""]",";;;","Step completes successfully;Element should be visible;Click action completes;Click action completes"
"UNLIMITED CARD Conditions page redirection test","Automatic","Cinesa Platform","Footer - Site Navigation","UNLIMITED CARD Conditions navigation and URL validation","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click on a[href=""/documentos-legales/condiciones-unlimited/""];Validating UNLIMITED CARD Conditions page URL",";;;","Step completes successfully;Element should be visible;Click action completes;Navigation completes successfully"
"Buy ticket with Classic menu - Oasiz","Automatic","Cinesa Platform","Bar & Food Services","Compra con Menú Clásico - 1 entrada","Bar & Food Services","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Oasiz cinema;Getting list of film names from cinema detail page;Selecting film with name ""Tron: Ares"";Selecting showtime ""21:50P. M.Sala 10"";Waiting for seats to be ready;Waiting for seats to be ready;Waiting for seat picker container;Selecting seat [Row 6, Seat 16];Confirming selected seats;Wait for ""Continue as Guest"" button;Click ""Continue as Guest"" button;Click on .v-number-input__button--plus;Wait for .order-totals-button-container .v-button, .order-totals-button to be visible;Click on .order-totals-button-container .v-button, .order-totals-button;Handling the bar modal;Click on button.v-tab__button:has-text(""MENU"") >> nth=0;Seleccionar última opción de cada sección del modal y añadir a la compra",";;;;;;;;;;;;;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Selection completes successfully;Page loads successfully;Page loads successfully;Page loads successfully;Selection completes successfully;Selection completes successfully;Page loads successfully;Click action completes;Click action completes;Element should be visible;Click action completes;Step completes successfully;Click action completes;Step completes successfully"
"Whistleblowing Policy display and layout","Automatic","Cinesa Platform","Footer - Site Navigation","Whistleblowing Policy PDF display and layout","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on a[href*=""whistleblowing-policy""];Validating Whistleblowing Policy PDF download",";;;;","Step completes successfully;Element should be visible;Click action completes;Click action completes;Step completes successfully"
"Infantil y Colegios page redirection test","Automatic","Cinesa Platform","Footer - Site Navigation","Infantil y Colegios navigation and URL validation","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click on a[href=""/infantil/""];Validating Infantil y Colegios page URL",";;;","Step completes successfully;Element should be visible;Click action completes;Navigation completes successfully"
"Eventos page redirection test","Automatic","Cinesa Platform","Footer - Site Navigation","OCG-3287 - Eventos navigation and URL validation","Footer - Site Navigation","OCG-3287","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on a[href=""/eventos/""];Validating Eventos page URL",";;;;","Step completes successfully;Element should be visible;Click action completes;Click action completes;Navigation completes successfully"
"Select companion and wheelchair seat - Grancasa","Automatic","Cinesa Platform","Seat Picker - Seat Selection","Wheelchair and companion seat selection","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);TC: https://se-ocg.atlassian.net/browse/COMS-4853;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Grancasa cinema;Getting list of film names from cinema detail page;Selecting film with name ""Predator: Badlands"";Selecting showtime ""19:30P. M.Sala 3"";Waiting for seats to be ready;Waiting for seat picker container",";;;;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Step completes successfully;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Selection completes successfully;Page loads successfully;Page loads successfully"
"Select one sofa seat correctly - Grancasa","Automatic","Cinesa Platform","Seat Picker - Seat Selection","D-BOX sofa seat selection and validation","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);TC: https://se-ocg.atlassian.net/browse/COMS-4853;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Grancasa cinema;Getting list of film names from cinema detail page",";;;;;;","Step completes successfully;Element should be visible;Click action completes;Step completes successfully;Click action completes;Selection completes successfully;Step completes successfully"
"Modern Slavery Declaration redirection test","Automatic","Cinesa Platform","Footer - Site Navigation","Modern Slavery Declaration PDF navigation and URL validation","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click on a[href*=""modernslavery""];Validating Modern Slavery PDF download",";;;","Step completes successfully;Element should be visible;Click action completes;Step completes successfully"
"Cinesa Promotions page redirection test","Automatic","Cinesa Platform","Promotions - Marketing","Promotions page URL redirection validation","Promotions - Marketing","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on nav.header-nav a[href=""/promociones/""]",";;;","Step completes successfully;Element should be visible;Click action completes;Click action completes"
"should redirect to coupons page in new tab","Automatic","Cinesa Platform","Coupons - Discount System","Coupons navigation in new tab","Coupons - Discount System","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click on nav.header-nav a[target=""_blank""][href*=""cinesabusiness.es/promociones""]",";;","Step completes successfully;Element should be visible;Click action completes"
"Work With Us page display and layout","Automatic","Cinesa Platform","Footer - Site Navigation","Work With Us page display and layout","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click on a[href=""https://cinesa-uci.jobtrain.co.uk/cinesajobs/Home/Job""];Taking screenshot",";;;","Step completes successfully;Element should be visible;Click action completes;Step completes successfully"
"Attempt to select seats leaving empty space between selection - Grancasa","Automatic","Cinesa Platform","Seat Picker - Seat Selection","Seat selection validation rules","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);TC: https://se-ocg.atlassian.net/browse/COMS-5620;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Grancasa cinema;Getting list of film names from cinema detail page;Selecting film with name ""Bugonia"";Selecting showtime ""22:00P. M.Sala 2"";Waiting for seats to be ready;Waiting for seats to be ready;Waiting for seat picker container",";;;;;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Step completes successfully;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Selection completes successfully;Page loads successfully;Page loads successfully;Page loads successfully"
"should click each navbar element and navigate accordingly DEMO test","Automatic","Cinesa Platform","Navbar - Main Navigation","Navegación por todos los elementos del navbar","Navbar - Main Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Clicking on nav element and verifying navigation to https://www.cinesa.es/cines/;Navigate to https://www.cinesa.es",";;;;","Step completes successfully;Element should be visible;Click action completes;Navigation completes successfully;Step completes successfully"
"should display coupons page layout correctly","Automatic","Cinesa Platform","Coupons - Discount System","Coupons page display and layout","Coupons - Discount System","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on nav.header-nav a[target=""_blank""][href*=""cinesabusiness.es/promociones""]",";;;","Step completes successfully;Element should be visible;Click action completes;Click action completes"
"should click logo and stay on home","Automatic","Cinesa Platform","Navbar - Main Navigation","Click en logo mantiene home","Navbar - Main Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on header .logo a:first-child;Validating that URL remains home",";;;;","Step completes successfully;Element should be visible;Click action completes;Click action completes;Navigation completes successfully"
