Summary,Test Type,Epic,Feature,Story,Test Sets,JIRA Keys,Step Action,Step Data,Step Expected
"Full purchase with single seat - Grancasa","Automatic","Cinesa Platform","Seat Picker - Seat Selection","Complete purchase from seat selection","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Grancasa cinema;Getting list of film names from cinema detail page;Selecting film with name ""Bugonia"";Selecting showtime ""22:00P. M.Sala 2"";Waiting for seats to be ready;Waiting for seats to be ready;Waiting for seat picker container",";;;;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Selection completes successfully;Page loads successfully;Page loads successfully;Page loads successfully"
"Privacy Policy page redirection test","Automatic","Cinesa Platform","Footer - Site Navigation","Privacy Policy navigation and URL validation","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on a[href=""/documentos-legales/politica-privacidad/""]",";;;","Step completes successfully;Element should be visible;Click action completes;Click action completes"
"Select companion and wheelchair seat - Oasiz","Automatic","Cinesa Platform","Seat Picker - Seat Selection","Wheelchair and companion seat selection","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);TC: https://se-ocg.atlassian.net/browse/COMS-4853;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Oasiz cinema;Getting list of film names from cinema detail page;Selecting film with name ""A pesar de ti"";Selecting showtime ""21:40P. M.Sala 8"";Waiting for seats to be ready;Waiting for seat picker container;Selecting seat [Row 1, Seat 10];Handling the wheelchair modal;Confirming selected seats",";;;;;;;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Step completes successfully;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Selection completes successfully;Page loads successfully;Page loads successfully;Selection completes successfully;Step completes successfully;Selection completes successfully"
"should display all social media links","Automatic","Cinesa Platform","Footer - Site Navigation","Social media links display","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Verify Facebook link visibility and href;Verify Twitter link visibility and href;Verify Instagram link visibility and href;Verify LinkedIn link visibility and href;Verify TikTok link visibility and href;Verify YouTube link visibility and href",";;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Facebook link visibility and href is correct;Twitter link visibility and href is correct;Instagram link visibility and href is correct;LinkedIn link visibility and href is correct;TikTok link visibility and href is correct;YouTube link visibility and href is correct"
"Display regular and sofa ticket types - Grancasa","Automatic","Cinesa Platform","Seat Picker - Seat Selection","D-BOX sofa seat selection and validation","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);TC: https://se-ocg.atlassian.net/browse/COMS-4665;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Grancasa cinema;Getting list of film names from cinema detail page",";;;;;;","Step completes successfully;Element should be visible;Click action completes;Step completes successfully;Click action completes;Selection completes successfully;Step completes successfully"
"Promotions page display and layout","Automatic","Cinesa Platform","Promotions - Marketing","Promotions page display and layout","Promotions - Marketing","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on nav.header-nav a[href=""/promociones/""]",";;;","Step completes successfully;Element should be visible;Click action completes;Click action completes"
"Select sofa seats separating group in different rows - Oasiz","Automatic","Cinesa Platform","Seat Picker - Seat Selection","D-BOX sofa seat selection and validation","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);TC: https://se-ocg.atlassian.net/browse/COMS-4853;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Oasiz cinema;Getting list of film names from cinema detail page;Selecting film with name ""Predator: Badlands"";Accepting the D-BOX warning modal if present;Waiting for seat picker container;Selecting seat [Row 2, Seat 2];Selecting seat [Row 3, Seat 2];Selecting seat [Row 4, Seat 2];Confirming selected seats",";;;;;;;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Step completes successfully;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Step completes successfully;Page loads successfully;Selection completes successfully;Selection completes successfully;Selection completes successfully;Selection completes successfully"
"Who Are We page redirection test","Automatic","Cinesa Platform","Footer - Site Navigation","Who Are We navigation and URL validation","Footer - Site Navigation","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);Click on a[href=""/quienes-somos/""]",";;;","Step completes successfully;Element should be visible;Click action completes;Click action completes"
"Attempt to select seats separating group in same row - Grancasa","Automatic","Cinesa Platform","Seat Picker - Seat Selection","Seat selection validation rules","Seat Picker - Seat Selection","","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click #onetrust-accept-btn-handler (with overlay handling);TC: https://se-ocg.atlassian.net/browse/COMS-4752;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Grancasa cinema;Getting list of film names from cinema detail page;Selecting film with name ""Los Tigres"";Selecting showtime ""18:50P. M.Sala 1"";Waiting for seats to be ready;Waiting for seats to be ready;Waiting for seat picker container",";;;;;;;;;;;","Step completes successfully;Element should be visible;Click action completes;Step completes successfully;Click action completes;Selection completes successfully;Step completes successfully;Selection completes successfully;Selection completes successfully;Page loads successfully;Page loads successfully;Page loads successfully"
"Grancasa Cinema Schema validation test","Automatic","Cinesa Platform","Cinemas - Location Finder","OCG-2550 - Cinema Schema validation - Grancasa","Cinemas - Location Finder","OCG-2550","Navigate to https://www.cinesa.es;Wait for #onetrust-banner-sdk to be visible;Click nav.header-nav a[href=""/cines/""] (with overlay handling);Selecting Grancasa cinema;Extracting cinema schema from page",";;;;","Step completes successfully;Element should be visible;Click action completes;Selection completes successfully;Step completes successfully"
